LAT;;;;;47.5584;47.5584;47.5584;47.5584
LON;;;;;7.57327;7.57327;7.57327;7.57327
ASL;;;;;279.000;279.000;279.000;279.000
CITY;;;;;Basel;Basel;Basel;Basel
DOMAIN;;;;;NEMS4;NEMS4;NEMS4;NEMS4
LEVEL;;;;;2 m above gnd;sfc;10 m above gnd;10 m above gnd
NAME;;;;;Temperature;Total Precipitation (high resolution);Wind Speed;Wind Direction
UNIT;;;;;°C;mm;km/h;°
AGGREGATION;;;;;;;;
UTC_OFFSET;;;;;1;1;1;1

Year;Month;Day;Hour;Minute;Temperature  [2 m above gnd];Total Precipitation (high resolution)  [sfc];Wind Speed  [10 m above gnd];Wind Direction  [10 m above gnd]
2019;11;04;18;00;12.00;0.10;19.52;247.22
2019;11;04;19;00;11.70;0.00;17.23;243.97
2019;11;04;20;00;11.40;0.00;19.49;244.86
2019;11;04;21;00;11.18;0.00;26.87;252.05
2019;11;04;22;00;10.14;0.00;26.11;254.81
2019;11;04;23;00;9.41;0.00;24.63;254.74
2019;11;05;00;00;8.78;0.00;19.21;257.01
2019;11;05;01;00;8.34;0.00;12.88;243.43
2019;11;05;02;00;7.87;0.00;9.50;217.30
2019;11;05;03;00;7.23;0.00;7.77;166.61
2019;11;05;04;00;6.16;0.00;10.09;145.18
2019;11;05;05;00;6.23;0.00;9.45;139.64
2019;11;05;06;00;6.90;0.00;8.91;136.64
2019;11;05;07;00;7.36;0.00;7.90;120.07
2019;11;05;08;00;7.26;0.00;6.29;113.63
2019;11;05;09;00;8.69;0.00;2.90;172.87
2019;11;05;10;00;10.46;0.00;5.80;262.87
2019;11;05;11;00;11.28;0.50;6.85;266.99
2019;11;05;12;00;11.58;0.20;5.80;262.87
2019;11;05;13;00;13.11;0.10;3.60;90.00
2019;11;05;14;00;12.75;0.00;5.04;90.00
2019;11;05;15;00;12.85;0.20;3.24;90.00
2019;11;05;16;00;12.92;0.00;3.98;84.81
2019;11;05;17;00;12.49;0.00;4.68;67.38
2019;11;05;18;00;12.10;0.00;2.04;315.00
2019;11;05;19;00;9.84;0.20;13.71;283.67
2019;11;05;20;00;9.35;0.60;11.53;255.53
2019;11;05;21;00;9.24;0.30;10.59;170.22
2019;11;05;22;00;9.50;0.00;8.65;135.00
2019;11;05;23;00;9.19;0.00;6.19;125.54
2019;11;06;00;00;9.21;0.00;3.05;135.00
2019;11;06;01;00;8.50;0.00;9.66;243.43
2019;11;06;02;00;7.76;0.20;6.92;207.90
2019;11;06;03;00;7.74;1.00;5.04;180.00
2019;11;06;04;00;7.69;1.40;3.67;168.69
2019;11;06;05;00;7.44;0.60;2.52;180.00
2019;11;06;06;00;7.14;0.00;3.88;201.80
2019;11;06;07;00;7.05;0.00;7.52;196.70
2019;11;06;08;00;7.08;0.00;10.70;222.27
2019;11;06;09;00;8.16;0.80;10.66;258.31
2019;11;06;10;00;9.18;0.70;14.15;262.69
2019;11;06;11;00;9.62;0.60;16.22;267.46
2019;11;06;12;00;10.05;0.30;17.65;272.34
2019;11;06;13;00;9.63;0.20;19.08;271.08
2019;11;06;14;00;10.64;0.00;17.77;263.02
2019;11;06;15;00;10.52;0.00;16.60;257.47
2019;11;06;16;00;10.62;0.00;15.28;254.98
2019;11;06;17;00;10.47;0.00;12.30;249.44
2019;11;06;18;00;10.11;0.00;10.50;239.04
2019;11;06;19;00;9.95;0.00;9.34;242.45
2019;11;06;20;00;9.81;0.00;8.71;240.26
2019;11;06;21;00;9.64;0.10;8.16;228.58
2019;11;06;22;00;9.57;0.10;8.50;233.62
2019;11;06;23;00;9.25;0.00;7.49;234.78
2019;11;07;00;00;8.77;0.00;4.39;214.99
2019;11;07;01;00;8.54;0.00;3.32;167.47
2019;11;07;02;00;8.04;0.00;7.39;133.03
2019;11;07;03;00;6.28;0.00;10.97;131.01
2019;11;07;04;00;5.24;0.00;10.74;129.56
2019;11;07;05;00;4.76;0.00;11.68;123.69
2019;11;07;06;00;3.99;0.00;10.95;117.41
2019;11;07;07;00;3.53;0.00;10.50;120.96
2019;11;07;08;00;3.56;0.00;11.18;123.18
2019;11;07;09;00;6.42;0.00;11.81;127.57
2019;11;07;10;00;9.80;0.00;14.84;129.09
2019;11;07;11;00;10.06;0.00;11.48;131.19
2019;11;07;12;00;8.79;0.40;25.62;204.04
2019;11;07;13;00;9.44;0.50;26.43;232.19
2019;11;07;14;00;10.19;0.00;16.70;232.88
2019;11;07;15;00;10.27;0.00;24.39;261.51
2019;11;07;16;00;9.98;0.00;17.73;264.17
2019;11;07;17;00;9.17;0.00;11.52;270.00
2019;11;07;18;00;7.92;0.00;7.21;267.14
2019;11;07;19;00;7.41;0.00;2.90;172.87
2019;11;07;20;00;7.30;0.00;7.70;127.41
2019;11;07;21;00;5.71;0.00;10.81;119.98
2019;11;07;22;00;5.46;0.00;8.71;119.74
2019;11;07;23;00;5.13;0.00;9.69;111.80
2019;11;08;00;00;4.83;0.00;9.18;115.56
2019;11;08;01;00;5.01;0.00;10.14;117.47
2019;11;08;02;00;5.46;0.00;12.88;116.57
2019;11;08;03;00;5.50;0.00;13.53;118.61
2019;11;08;04;00;5.71;0.00;14.69;120.96
2019;11;08;05;00;5.56;0.00;13.85;117.90
2019;11;08;06;00;4.98;0.20;12.18;124.16
2019;11;08;07;00;5.67;0.30;13.04;129.40
2019;11;08;08;00;5.93;0.60;15.78;117.15
2019;11;08;09;00;5.92;1.30;12.50;131.50
2019;11;08;10;00;5.90;1.20;6.88;137.12
2019;11;08;11;00;6.24;0.50;2.62;164.05
2019;11;08;12;00;6.33;0.20;4.21;289.98
2019;11;08;13;00;6.33;0.30;5.45;277.59
2019;11;08;14;00;7.02;0.60;5.09;315.00
2019;11;08;15;00;7.32;0.60;1.14;341.57
2019;11;08;16;00;7.50;0.30;4.02;100.30
2019;11;08;17;00;7.15;0.10;7.86;105.95
2019;11;08;18;00;6.67;0.00;6.49;109.44
2019;11;08;19;00;6.44;0.00;2.88;90.00
2019;11;08;20;00;6.15;0.00;3.67;11.31
2019;11;08;21;00;5.96;0.00;3.89;326.31
2019;11;08;22;00;5.65;0.00;6.44;296.57
2019;11;08;23;00;5.25;0.00;7.42;292.83
2019;11;09;00;00;4.88;0.00;6.21;280.01
2019;11;09;01;00;4.70;0.00;4.32;270.00
2019;11;09;02;00;4.79;0.00;1.84;258.69
2019;11;09;03;00;4.71;0.10;1.14;198.43
2019;11;09;04;00;4.73;0.10;0.80;206.57
2019;11;09;05;00;4.89;0.00;2.41;206.57
2019;11;09;06;00;5.43;0.00;6.12;241.93
2019;11;09;07;00;5.70;0.00;8.56;247.75
2019;11;09;08;00;5.87;0.00;10.64;246.04
2019;11;09;09;00;5.76;0.00;13.63;257.80
2019;11;09;10;00;5.80;0.00;14.93;285.38
2019;11;09;11;00;7.02;0.00;16.98;274.86
2019;11;09;12;00;7.01;0.00;15.88;266.10
2019;11;09;13;00;9.29;0.00;6.16;276.71
2019;11;09;14;00;9.63;0.00;5.45;277.59
2019;11;09;15;00;9.57;0.00;6.73;285.52
2019;11;09;16;00;9.18;0.00;6.73;285.52
2019;11;09;17;00;8.30;0.00;4.02;296.57
2019;11;09;18;00;7.87;0.00;1.14;18.43
2019;11;09;19;00;7.53;0.00;5.59;104.93
2019;11;09;20;00;5.84;0.00;9.20;120.58
2019;11;09;21;00;4.53;0.00;8.79;124.99
2019;11;09;22;00;3.55;0.00;8.50;126.38
2019;11;09;23;00;3.00;0.00;8.15;135.00
2019;11;10;00;00;2.82;0.00;7.79;123.69
2019;11;10;01;00;2.46;0.00;9.66;116.57
2019;11;10;02;00;2.00;0.00;10.59;125.31
